condition,step,interval_first_step,train_loss,waveform_mse,weighted_envelope_mse,envelope_weight_at_interval_last_step,unweighted_envelope_interval_mean,unweighted_envelope_null_reason,component_source
time_init3,2200,2101,0.31061220068534534,0.31061220068534534,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
time_init3,2300,2201,0.3094190529555856,0.3094190529555856,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
time_init3,2400,2301,0.30813667838742126,0.30813667838742126,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
time_init3,2500,2401,0.3070793426748861,0.3070793426748861,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
time_init3,2600,2501,0.30596528552132496,0.30596528552132496,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
time_init3,2700,2601,0.30468633289934677,0.30468633289934677,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
time_init3,2800,2701,0.3038909128556025,0.3038909128556025,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
time_init3,2900,2801,0.3025754344061169,0.3025754344061169,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
time_init3,3000,2901,0.3015125402735483,0.3015125402735483,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
time_init3,3100,3001,0.3003917640066345,0.3003917640066345,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
time_init3,3200,3101,0.2991959508415622,0.2991959508415622,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
time_init3,3300,3201,0.2982039658709851,0.2982039658709851,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
time_init3,3400,3301,0.29697907735199924,0.29697907735199924,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
time_init3,3500,3401,0.29589426181257267,0.29589426181257267,0.0,0.0,,disabled,train_loss is the native MSE-only objective; envelope absent by configuration
