run,optimizer_step,native_interval_mean_loss,traces_per_update,points_per_update,cumulative_point_draw_count
435_traces_per_update,3900,0.5899748224020004,435,167040,651456000
435_traces_per_update,4000,0.5722338318824768,435,167040,668160000
435_traces_per_update,4100,0.5556701296567916,435,167040,684864000
435_traces_per_update,4200,0.5388769799470902,435,167040,701568000
435_traces_per_update,4300,0.5258080381155014,435,167040,718272000
435_traces_per_update,4400,0.5167166593670846,435,167040,734976000
435_traces_per_update,4500,0.5070299381017684,435,167040,751680000
435_traces_per_update,4600,0.49506302654743195,435,167040,768384000
435_traces_per_update,4700,0.4878517246246338,435,167040,785088000
435_traces_per_update,4800,0.48051448076963427,435,167040,801792000
435_traces_per_update,4900,0.47501990556716917,435,167040,818496000
435_traces_per_update,5000,0.4681645792722702,435,167040,835200000
14729_traces_per_update,100,0.9975857696278905,14729,5655936,565593600
14729_traces_per_update,200,0.9452256713426885,14729,5655936,1131187200
14729_traces_per_update,300,0.496923609214232,14729,5655936,1696780800
14729_traces_per_update,400,0.35088212279744996,14729,5655936,2262374400
14729_traces_per_update,500,0.3316051970899549,14729,5655936,2827968000
14729_traces_per_update,600,0.3238935079784233,14729,5655936,3393561600
14729_traces_per_update,700,0.318805357415729,14729,5655936,3959155200
14729_traces_per_update,800,0.3150712794375659,14729,5655936,4524748800
14729_traces_per_update,900,0.3122547210589779,14729,5655936,5090342400
14729_traces_per_update,1000,0.30975938519110496,14729,5655936,5655936000
14729_traces_per_update,1100,0.30764099835099723,14729,5655936,6221529600
14729_traces_per_update,1200,0.3059559533079916,14729,5655936,6787123200
14729_traces_per_update,1300,0.3042650174854497,14729,5655936,7352716800
14729_traces_per_update,1400,0.3028750726501641,14729,5655936,7918310400
14729_traces_per_update,1500,0.30131106503502225,14729,5655936,8483904000
14729_traces_per_update,1600,0.3000053285067608,14729,5655936,9049497600
14729_traces_per_update,1700,0.2985176101090544,14729,5655936,9615091200
14729_traces_per_update,1800,0.29712668932238,14729,5655936,10180684800
14729_traces_per_update,1900,0.2958128642825121,14729,5655936,10746278400
14729_traces_per_update,2000,0.2946859118524099,14729,5655936,11311872000
14729_traces_per_update,2100,0.29354323750914146,14729,5655936,11877465600
14729_traces_per_update,2200,0.2925586370188215,14729,5655936,12443059200
14729_traces_per_update,2300,0.29145399529823535,14729,5655936,13008652800
14729_traces_per_update,2400,0.2905113259986008,14729,5655936,13574246400
14729_traces_per_update,2500,0.2896252234460494,14729,5655936,14139840000
14729_traces_per_update,2600,0.2888242153200007,14729,5655936,14705433600
14729_traces_per_update,2700,0.28795225907142846,14729,5655936,15271027200
14729_traces_per_update,2800,0.28712273105472785,14729,5655936,15836620800
14729_traces_per_update,2900,0.28622870400444456,14729,5655936,16402214400
14729_traces_per_update,3000,0.2854430405373666,14729,5655936,16967808000
14729_traces_per_update,3100,0.2846228654130761,14729,5655936,17533401600
14729_traces_per_update,3200,0.2836784708376955,14729,5655936,18098995200
14729_traces_per_update,3300,0.2828161642660523,14729,5655936,18664588800
14729_traces_per_update,3400,0.2819748191271658,14729,5655936,19230182400
14729_traces_per_update,3500,0.2808240817847502,14729,5655936,19795776000
14729_traces_per_update,3600,0.27985494597596683,14729,5655936,20361369600
14729_traces_per_update,3700,0.2785860200239156,14729,5655936,20926963200
14729_traces_per_update,3800,0.2773824274415645,14729,5655936,21492556800
14729_traces_per_update,3900,0.2763583868692282,14729,5655936,22058150400
14729_traces_per_update,4000,0.27508785046180617,14729,5655936,22623744000
14729_traces_per_update,4100,0.2740521911380625,14729,5655936,23189337600
14729_traces_per_update,4200,0.27295712770033775,14729,5655936,23754931200
14729_traces_per_update,4300,0.2720648013675051,14729,5655936,24320524800
14729_traces_per_update,4400,0.27094317834454634,14729,5655936,24886118400
14729_traces_per_update,4500,0.2698326230862396,14729,5655936,25451712000
14729_traces_per_update,4600,0.2690061650446391,14729,5655936,26017305600
14729_traces_per_update,4700,0.26792200795819004,14729,5655936,26582899200
14729_traces_per_update,4800,0.26712734058235965,14729,5655936,27148492800
14729_traces_per_update,4900,0.2662656064750607,14729,5655936,27714086400
